"ID","Cond","field","lab","time","b_copies_per_g_soil","f_copies_per_g_soil","B_F_ratio","treat","f_mean_constant_w","b_mean_constant_w","f_proportional_diff","b_proportional_diff","mean_BF_ratio","proportional_diff_BF","log_f_copies_per_g_soil","log_b_copies_per_g_soil"
"22","Current constant_w 2","Ambient","constant_w","2",53118469.1498773,6504769.08971387,8.16608067362064,"a) ambient wet",21065360.9187346,229852155.85233,,,15.3666720226595,,15.688046171945,17.7880352440025
"27","Current cycle_drw 2","Ambient","cycle_drw","2",175036255.811698,23076932.1370669,7.58490144062734,"b) ambient d/r",21065360.9187346,229852155.85233,0.0954918943042332,-0.23848329739334,15.3666720226595,-0.506405718203477,16.9543440677651,18.9805036864966
"28","Current cycle_drw 4","Ambient","cycle_drw","4",322648247.087847,20799761.3519254,15.5121129338332,"b) ambient d/r",21799550.0577526,259315038.731335,-0.0458628138277366,0.244232685718349,12.9208477187408,0.200549164536161,16.8504520711406,19.5920732694718
"29","Current constant_w 1","Ambient","constant_w","1",362766986.614767,22398742.7922893,16.1958637580163,"a) ambient wet",29399106.6145991,450034894.213438,,,14.995565175703,,16.924515389906,19.7092712759644
"31","Current constant_w 3","Ambient","constant_w","3",302653477.283262,18036627.7607717,16.7799369869744,"a) ambient wet",27353698.7942388,314724664.268767,,,12.5588229415054,,16.7079151239039,19.52809906969
"33","Current cycle_drw 3","Ambient","cycle_drw","3",267445072.751591,23945476.5051353,11.1689183839894,"b) ambient d/r",27353698.7942388,314724664.268767,-0.1245982239821,-0.150225250464641,12.5588229415054,-0.110671562453718,16.9912899915456,19.404424767708
"38","Current constant_w 2","Ambient","constant_w","2",302308416.610982,9813197.42496144,30.8063114925226,"a) ambient wet",21065360.9187346,229852155.85233,,,15.3666720226595,,16.0992387137024,19.5269583012774
"4","Current cycle_drw 1","Ambient","cycle_drw","1",269777452.959049,56601854.2238765,4.76622995232634,"b) ambient d/r",29399106.6145991,450034894.213438,0.925291641201401,-0.400541032644678,14.995565175703,-0.682157364762153,17.851552302776,19.4131079287834
"40","Current cycle_drw 4","Ambient","cycle_drw","4",514079316.208854,52249724.9170853,9.83889038697608,"b) ambient d/r",21799550.0577526,259315038.731335,1.39682584175648,0.982450839426514,12.9208477187408,-0.238525938765964,17.7715451840506,20.057888123205
"45","Current cycle_drw 3","Ambient","cycle_drw","3",293927575.179744,27892892.0530994,10.5377231812391,"b) ambient d/r",27353698.7942388,314724664.268767,0.0197118957445793,-0.0660802645936331,12.5588229415054,-0.160930667601566,17.1438824492116,19.4988439520295
"49","Current constant_w 4","Ambient","constant_w","4",361469416.182328,31696915.0254293,11.4039305052979,"a) ambient wet",21799550.0577526,259315038.731335,,,12.9208477187408,,17.271729916302,19.7056879934456
"5","Current cycle_drw 2","Ambient","cycle_drw","2",336250686.703485,27436858.3838038,12.2554369016963,"b) ambient d/r",21065360.9187346,229852155.85233,0.302463247112121,0.462899860375955,15.3666720226595,-0.20246642320311,17.1273978638813,19.6333675311191
"51","Current constant_w 4","Ambient","constant_w","4",110440542.432163,19617501.5588365,5.62969459188936,"a) ambient wet",21799550.0577526,259315038.731335,,,12.9208477187408,,16.7919326624453,18.5199878565694
"53","Current cycle_drw 4","Ambient","cycle_drw","4",534323149.910085,30328192.5623071,17.6180347316233,"b) ambient d/r",21799550.0577526,259315038.731335,0.391230208052917,1.0605174020149,12.9208477187408,0.363535513700819,17.2275882854824,20.0965113635396
"55","Current cycle_drw 1","Ambient","cycle_drw","1",262237956.080917,9690114.69664102,27.062420238619,"b) ambient d/r",29399106.6145991,450034894.213438,-0.670394246203758,-0.41729417106811,14.995565175703,0.804694916232139,16.0866168203956,19.3847628788512
"57","Current cycle_drw 1","Ambient","cycle_drw","1",98850989.6309809,7694380.68820092,12.8471664759928,"b) ambient d/r",29399106.6145991,450034894.213438,-0.738278418148257,-0.780348166548839,14.995565175703,-0.143268938151879,15.8560008396512,18.4091241189722
"58","Current cycle_drw 2","Ambient","cycle_drw","2",302359582.996409,26799732.7213684,11.2821865105888,"b) ambient d/r",21065360.9187346,229852155.85233,0.272218065703016,0.315452456276558,15.3666720226595,-0.265801567577398,17.1039024723481,19.5271275392247
"59","Current constant_w 1","Ambient","constant_w","1",298637876.942201,26267299.7941295,11.3691882790687,"a) ambient wet",29399106.6145991,450034894.213438,,,14.995565175703,,17.0838353697069,19.5147422834581
"60","Current constant_w 4","Ambient","constant_w","4",306035157.579515,14084233.5889919,21.7289180590351,"a) ambient wet",21799550.0577526,259315038.731335,,,12.9208477187408,,16.460566544535,19.5392105473675
"64","Current cycle_drw 3","Ambient","cycle_drw","3",336584136.870972,27143646.890235,12.4001074075297,"b) ambient d/r",27353698.7942388,314724664.268767,-0.00767910422586078,0.0694558612144164,12.5588229415054,-0.0126377714468122,17.1166535766022,19.6343587110732
"67","Current cycle_drw 1","Ambient","cycle_drw","1",260195919.468344,22611433.652786,11.5072720935714,"b) ambient d/r",29399106.6145991,450034894.213438,-0.230880245811364,-0.421831678356609,14.995565175703,-0.232621647884514,16.9339662501513,19.3769454416305
"69","Current constant_w 1","Ambient","constant_w","1",688699819.083345,39531277.2573786,17.421643490024,"a) ambient wet",29399106.6145991,450034894.213438,,,14.995565175703,,17.4926027458406,20.3503160578219
"7","Current cycle_drw 3","Ambient","cycle_drw","3",303626502.090646,29919409.3243585,10.148144931573,"b) ambient d/r",27353698.7942388,314724664.268767,0.0937975719269133,-0.0352630836985933,12.5588229415054,-0.191950951228511,17.2140179690427,19.5313088924646
"71","Current cycle_drw 1","Ambient","cycle_drw","1",366211044.414002,29122237.9760955,12.5749622922043,"b) ambient d/r",29399106.6145991,450034894.213438,-0.00941758680401823,-0.186260778613493,14.995565175703,-0.161421250558849,17.1870126319144,19.7187203492638
